snapshot_date,provider,gpu_model,avg_price,day_of_week,month,day,price_lag_1,price_lag_2,price_lag_3
2026-07-10,Amazon AWS,A10,1.4866666666666666,4,7,10,,,
2026-07-11,Amazon AWS,A10,1.4866666666666666,5,7,11,1.4866666666666666,,
2026-07-12,Amazon AWS,A10,1.4866666666666666,6,7,12,1.4866666666666666,1.4866666666666666,
2026-07-13,Amazon AWS,A10,1.4866666666666666,0,7,13,1.4866666666666666,1.4866666666666666,1.4866666666666666
2026-07-14,Amazon AWS,A10,1.4866666666666666,1,7,14,1.4866666666666666,1.4866666666666666,1.4866666666666666
2026-07-15,Amazon AWS,A10,1.4866666666666666,2,7,15,1.4866666666666666,1.4866666666666666,1.4866666666666666
2026-07-16,Amazon AWS,A10,1.4866666666666666,3,7,16,1.4866666666666666,1.4866666666666666,1.4866666666666666
2026-07-17,Amazon AWS,A10,1.4866666666666666,4,7,17,1.4866666666666666,1.4866666666666666,1.4866666666666666
2026-07-19,Amazon AWS,A10,1.4866666666666666,6,7,19,1.4866666666666666,1.4866666666666666,1.4866666666666666
2026-07-20,Amazon AWS,A10,1.4866666666666666,0,7,20,1.4866666666666666,1.4866666666666666,1.4866666666666666
2026-07-22,Amazon AWS,A10,1.4866666666666666,2,7,22,1.4866666666666666,1.4866666666666666,1.4866666666666666
2026-07-10,Beam,A10,1.0512,4,7,10,,,
2026-07-11,Beam,A10,1.0512,5,7,11,1.0512,,
2026-07-12,Beam,A10,1.0512,6,7,12,1.0512,1.0512,
2026-07-13,Beam,A10,1.0512,0,7,13,1.0512,1.0512,1.0512
2026-07-14,Beam,A10,1.0512,1,7,14,1.0512,1.0512,1.0512
2026-07-15,Beam,A10,1.0512,2,7,15,1.0512,1.0512,1.0512
2026-07-16,Beam,A10,1.0512,3,7,16,1.0512,1.0512,1.0512
2026-07-17,Beam,A10,1.0512,4,7,17,1.0512,1.0512,1.0512
2026-07-19,Beam,A10,1.0512,6,7,19,1.0512,1.0512,1.0512
2026-07-20,Beam,A10,1.0512,0,7,20,1.0512,1.0512,1.0512
2026-07-22,Beam,A10,1.0512,2,7,22,1.0512,1.0512,1.0512
2026-07-10,Lambda Labs,A10,1.29,4,7,10,,,
2026-07-11,Lambda Labs,A10,1.29,5,7,11,1.29,,
2026-07-12,Lambda Labs,A10,1.29,6,7,12,1.29,1.29,
2026-07-13,Lambda Labs,A10,1.29,0,7,13,1.29,1.29,1.29
2026-07-14,Lambda Labs,A10,1.29,1,7,14,1.29,1.29,1.29
2026-07-15,Lambda Labs,A10,1.29,2,7,15,1.29,1.29,1.29
2026-07-16,Lambda Labs,A10,1.29,3,7,16,1.29,1.29,1.29
2026-07-17,Lambda Labs,A10,1.29,4,7,17,1.29,1.29,1.29
2026-07-19,Lambda Labs,A10,1.29,6,7,19,1.29,1.29,1.29
2026-07-20,Lambda Labs,A10,1.29,0,7,20,1.29,1.29,1.29
2026-07-22,Lambda Labs,A10,1.29,2,7,22,1.29,1.29,1.29
2026-07-10,Microsoft Azure,A10,2.1270374999999997,4,7,10,,,
2026-07-11,Microsoft Azure,A10,2.1270374999999997,5,7,11,2.1270374999999997,,
2026-07-12,Microsoft Azure,A10,2.1270374999999997,6,7,12,2.1270374999999997,2.1270374999999997,
2026-07-13,Microsoft Azure,A10,2.1270374999999997,0,7,13,2.1270374999999997,2.1270374999999997,2.1270374999999997
